Date,Open,High,Low,Close,Adj Close,Volume
2025-07-09,161.22,164.42,161.16,162.88,162.8617,183656406
2025-07-10,164.32,164.5,161.61,164.1,164.0816,167704094
2025-07-11,163.715,167.89,163.47,164.92,164.9015,193633297
2025-07-14,165.37,165.49,162.02,164.07,164.0516,136975812
2025-07-15,171.19,172.4,169.195,170.7,170.6809,230627391
2025-07-16,171.06,171.75,168.9,171.37,171.3508,158831500
2025-07-17,172.02,174.16,170.83,173.0,172.9806,160841109
2025-07-18,173.64,174.25,171.26,172.41,172.3907,146456406
2025-07-21,172.75,173.38,171.0,171.38,171.3608,123126094
2025-07-22,171.34,171.39,164.58,167.03,167.0113,193114297
2025-07-23,169.53,171.26,167.97,170.78,170.7609,154082203
2025-07-24,172.44,173.83,171.3,173.74,173.7205,128984602
2025-07-25,173.61,174.72,172.96,173.5,173.4806,122316797
2025-07-28,174.02,177.0,173.97,176.75,176.7302,140023500
2025-07-29,177.96,179.38,175.02,175.51,175.4903,154077500
2025-07-30,176.51,179.89,176.04,179.27,179.2499,174312188
2025-07-31,182.9,183.3,175.93,177.87,177.8501,221685406
2025-08-01,174.09,176.54,170.89,173.72,173.7005,204528984
2025-08-04,175.16,180.2,174.52,180.0,179.9798,148174594
2025-08-05,179.62,180.26,175.9,178.26,178.24,156407594
2025-08-06,176.325,179.9,176.25,179.42,179.3999,137192297
2025-08-07,181.57,183.88,178.795,180.77,180.7497,151878406
2025-08-08,181.55,183.3,180.4,182.7,182.6795,123396703
2025-08-11,182.05,183.84,180.25,182.06,182.0396,138323203
2025-08-12,182.96,184.48,179.46,183.16,183.1395,145729203
2025-08-13,182.615,183.97,179.35,181.59,181.5696,179871703
2025-08-14,179.75,183.02,179.46,182.02,181.9996,129554000
2025-08-15,181.88,181.9,178.0417,180.45,180.4298,156602203
2025-08-18,180.6,182.9375,180.59,182.01,181.9896,132008000
2025-08-19,182.43,182.5,175.49,175.64,175.6203,185229203
2025-08-20,175.165,176.0,168.801,175.4,175.3803,215142703
2025-08-21,174.85,176.9,173.81,174.98,174.9604,140040891
2025-08-22,172.61,178.59,171.2,177.99,177.9701,172789406
2025-08-25,178.35,181.91,176.57,179.81,179.7898,163012797
2025-08-26,180.055,182.39,178.81,181.77,181.7496,168688188
2025-08-27,181.98,182.49,179.1,181.6,181.5796,235518891
2025-08-28,180.82,184.47,176.41,180.17,180.1498,281787812
2025-08-29,178.11,178.15,173.145,174.18,174.1605,243257906
2025-09-02,170.0,172.379,167.22,170.78,170.7609,231164891
2025-09-03,171.06,172.41,168.875,170.62,170.6009,164424891
2025-09-04,170.57,171.86,169.41,171.66,171.6408,141670094
2025-09-05,168.03,169.03,164.07,167.02,167.0013,224441406
2025-09-08,167.55,170.96,167.35,168.31,168.2911,163769109
2025-09-09,169.09,170.98,166.7401,170.76,170.7409,157548406
2025-09-10,176.64,179.29,175.47,177.33,177.3101,226852000
2025-09-11,179.68,180.28,176.48,177.17,177.1601,151159297
2025-09-12,177.77,178.595,176.45,177.82,177.8101,124911000
2025-09-15,175.67,178.85,174.51,177.75,177.7401,147061594
2025-09-16,177.0,177.5,174.38,174.88,174.8703,140737797
2025-09-17,172.64,173.2,168.41,170.29,170.2805,211843812
2025-09-18,173.98,177.1,172.96,176.24,176.2302,191763297
2025-09-19,175.77,178.08,175.18,176.67,176.6602,237182094
2025-09-22,175.3,184.55,174.7053,183.61,183.5998,269637000
2025-09-23,181.97,182.42,176.21,178.43,178.4201,192559594
2025-09-24,179.77,179.78,175.4,176.97,176.9601,143564094
2025-09-25,174.48,180.26,173.125,177.69,177.6801,191586703
2025-09-26,178.17,179.77,174.93,178.19,178.1801,148573703
2025-09-29,180.425,184.0,180.32,181.85,181.8399,193063500
2025-09-30,182.08,187.35,181.48,186.58,186.5696,236980984
2025-10-01,185.24,188.14,183.9,187.24,187.2296,173844891
2025-10-02,189.6,191.05,188.06,188.89,188.8795,136805797
2025-10-03,189.19,190.36,185.38,187.62,187.6096,137596891
2025-10-06,185.5,187.23,183.33,185.54,185.5297,157678094
2025-10-07,186.23,189.06,184.0,185.04,185.0297,140088000
2025-10-08,186.57,189.6,186.54,189.11,189.0995,130168898
2025-10-09,192.225,195.3,191.06,192.57,192.5593,182997203
2025-10-10,193.505,195.62,182.05,183.16,183.1498,268774406
2025-10-13,187.965,190.1099,185.96,188.32,188.3095,153482797
2025-10-14,184.77,184.8,179.7,180.03,180.02,205641406
